keys,en,uk,pl,be,kz,ru
ACTION_PLAYER_BIDS,"%s is bidding","%s робить замовлення","%s licytuje","%s робіць заказ","%s тапсырыс беруде","Заказывает %s"
ACTION_CHOOSE_JOKER,"Choose the Joker condition.","Виберіть умову для Джокера.","Wybierz warunek Jokera.","Выберы ўмову для Джокера.","Джокер шартын таңдаңыз.","Выбери условие для Джокера."
ACTION_YOUR_TURN,"Your turn: choose an available card.","Ваш хід: виберіть доступну карту.","Twój ruch: wybierz dostępną kartę.","Твой ход: выберы даступную карту.","Сіздің жүрісіңіз: қолжетімді картаны таңдаңыз.","Твой ход: выбери доступную карту в руке."
ACTION_PLAYER_TURN,"%s is playing","Ходить %s","Ruch gracza %s","Ходзіць %s","%s жүріп жатыр","Ходит %s"
ACTION_ROUND_FINISHED,"The round is over. Results are shown in the middle of the table.","Роздачу завершено. Підсумки — у центрі столу.","Rozdanie zakończone. Wyniki są na środku stołu.","Раздача завершана. Вынікі — у цэнтры стала.","Тарату аяқталды. Нәтижелер үстелдің ортасында.","Раздача завершена. Итоги — в центре стола."
ACTION_ALL_BIDS_DONE,"All bids are in. Cards have been dealt — play begins.","Усі замовлення зроблено. Карти роздано — починається розіграш.","Wszystkie zakłady złożone. Karty rozdane — zaczyna się gra.","Усе заказы зроблены. Карты раздадзены — пачынаецца розыгрыш.","Барлық тапсырыс жасалды. Карталар таратылды — ойын басталады.","Все заказы сделаны. Карты сданы — начинается розыгрыш."
BID_BUTTON,"Bid %d","Замовити %d","Zamów %d","Заказаць %d","%d тапсырыс","Заказать %d"
HAND_HIDDEN_DARK,"Cards will be dealt after every player has made a bid.","Карти буде роздано після того, як усі гравці зроблять замовлення.","Karty zostaną rozdane, gdy wszyscy gracze złożą zakłady.","Карты будуць раздадзены пасля таго, як усе гульцы зробяць заказ.","Барлық ойыншы тапсырыс бергеннен кейін карталар таратылады.","Карты будут сданы после того, как все игроки сделают заказ."
HAND_PREMOVE_SELECTED,"AUTO-PLAY ✓","АВТОХІД ✓","AUTO-RUCH ✓","АЎТАХОД ✓","АВТОЖҮРІС ✓","АВТОХОД ✓"
HAND_PREMOVE_CONFIRM,"CONFIRM","ПІДТВЕРДЬТЕ","POTWIERDŹ","ПАЦВЕРДЗІЦЕ","РАСТАҢЫЗ","ПОДТВЕРДИ"
SORT_BY_SUIT,"By suit","За мастями","Kolorami","Па масцях","Түсі бойынша","По мастям"
SORT_TRUMPS_LEFT,"Trumps left","Козирі ліворуч","Atuty po lewej","Казыры злева","Козырь сол жақта","Козыри слева"
UNDO_MOVE,"↶ Undo move","↶ Повернути хід","↶ Cofnij ruch","↶ Вярнуць ход","↶ Жүрісті қайтару","↶ Вернуть ход"
HISTORY_TITLE,"Round history","Хід роздачі","Przebieg rozdania","Ход раздачы","Тарату барысы","Ход раздачи"
HISTORY_EMPTY,"Round history: —","Хід роздачі: —","Przebieg rozdania: —","Ход раздачы: —","Тарату барысы: —","Ход раздачи: —"
HISTORY_BUTTON,"History","Історія","Historia","Гісторыя","Тарих","История"
HISTORY_LAST_BUTTON,"Last trick","Остання взятка","Ostatnia lewa","Апошняя ўзятка","Соңғы ұтыс","Последняя взятка"
HISTORY_HIDE,"Hide history","Сховати історію","Ukryj historię","Схаваць гісторыю","Тарихты жасыру","Скрыть историю"
HISTORY_SHOW,"Show history","Показати історію","Pokaż historię","Паказаць гісторыю","Тарихты көрсету","Показать историю"
HISTORY_HIDE_LAST,"Hide last trick","Сховати останню взятку","Ukryj ostatnią lewę","Схаваць апошнюю ўзятку","Соңғы ұтысты жасыру","Скрыть последнюю взятку"
HISTORY_SHOW_LAST,"Show last trick","Показати останню взятку","Pokaż ostatnią lewę","Паказаць апошнюю ўзятку","Соңғы ұтысты көрсету","Показать последнюю взятку"
HISTORY_NO_COMPLETED,"No completed tricks yet.","Завершених взяток ще немає.","Nie ma jeszcze zakończonych lew.","Завершаных узятак пакуль няма.","Әзірге аяқталған ұтыс жоқ.","Завершённых взяток пока нет."
HISTORY_TAKEN_BY,"Taken by: %s","Забрав: %s","Wziął: %s","Забраў: %s","Алған: %s","Забрал: %s"
HISTORY_NO_CARDS,"There are no cards on the table yet.","На столі ще немає карт.","Na stole nie ma jeszcze kart.","На стале пакуль няма карт.","Үстелде әзірге карта жоқ.","На столе пока нет карт."
HISTORY_TRUMP,"Trump: %s.","Козир: %s.","Atut: %s.","Козыр: %s.","Козырь: %s.","Козырь: %s."
HISTORY_FIRST_BID,"%s bids first.","Першим замовляє %s.","%s licytuje pierwszy.","Першым заказвае %s.","%s бірінші тапсырыс береді.","Первым заказывает: %s."
HISTORY_FIRST_PLAY_NO_BIDS,"No bidding. %s plays first.","Без замовлень. Першим ходить %s.","Bez licytacji. %s rusza pierwszy.","Без заказаў. Першым ходзіць %s.","Тапсырыс жоқ. %s бірінші жүреді.","Раздача без заказов. Первым ходит: %s."
HISTORY_ROUND_FINISHED,"Round finished.","Роздачу завершено.","Rozdanie zakończone.","Раздача завершана.","Тарату аяқталды.","Раздача завершена."
RESULTS_ROUND,"ROUND RESULTS","ПІДСУМКИ РОЗДАЧІ","WYNIKI ROZDANIA","ВЫНІКІ РАЗДАЧЫ","ТАРАТУ НӘТИЖЕЛЕРІ","ИТОГИ РАЗДАЧИ"
RESULTS_GAME,"GAME RESULTS","ПІДСУМКИ ПАРТІЇ","WYNIKI GRY","ВЫНІКІ ПАРТЫІ","ОЙЫН НӘТИЖЕЛЕРІ","ИТОГИ ПАРТИИ"
NEXT_ROUND,"Next round","Наступна роздача","Następne rozdanie","Наступная раздача","Келесі тарату","Следующая раздача"
NEXT_ROUND_AUTO_START_TOOLTIP,"Next round in %d sec","Наступна роздача через %d с","Następne rozdanie za %d s","Наступная раздача праз %d с","Келесі таратуға %d с","Следующая раздача через %d с"
SCORE_SHEET,"Score sheet","Розписка","Tabela wyników","Распіска","Есеп кестесі","Расписка"
SCORE_SHEET_ICON,"📋 Score sheet","📋 Розписка","📋 Tabela wyników","📋 Распіска","📋 Есеп кестесі","📋 Расписка"
MENU_TABLE,"☰ Menu","☰ Меню","☰ Menu","☰ Меню","☰ Мәзір","☰ Меню"
MUSIC_TITLE,"♫ Music","♫ Музика","♫ Muzyka","♫ Музыка","♫ Музыка","♫ Музыка"
MUSIC_PAUSE,"Ⅱ Pause","Ⅱ Пауза","Ⅱ Pauza","Ⅱ Паўза","Ⅱ Үзіліс","Ⅱ Пауза"
CHAT_OPEN,"Open table chat","Відкрити чат столу","Otwórz czat stołu","Адкрыць чат стала","Үстел чатын ашу","Открыть чат стола"
CHAT_TITLE,"CHAT","ЧАТ","CZAT","ЧАТ","ЧАТ","ЧАТ"
CHAT_EMPTY,"No messages yet.","Повідомлень ще немає.","Brak wiadomości.","Паведамленняў пакуль няма.","Әзірге хабарлама жоқ.","Сообщений пока нет."
CHAT_PLACEHOLDER,"Message all players…","Повідомлення всім гравцям…","Wiadomość do wszystkich graczy…","Паведамленне ўсім гульцам…","Барлық ойыншыға хабарлама…","Сообщение всем игрокам…"
CHAT_SEND,"Send","Надіслати","Wyślij","Адправіць","Жіберу","Отправить"
CHAT_LIMIT,"Up to 180 characters · no more than one message per second","До 180 символів · не частіше одного повідомлення на секунду","Do 180 znaków · nie częściej niż jedna wiadomość na sekundę","Да 180 сімвалаў · не часцей за адно паведамленне ў секунду","180 таңбаға дейін · секундына бір хабарламадан жиі емес","До 180 символов · не чаще одного сообщения в секунду"
CHAT_SENT,"Message sent.","Повідомлення надіслано.","Wiadomość wysłana.","Паведамленне адпраўлена.","Хабарлама жіберілді.","Сообщение отправлено."
CHAT_ENTER_MESSAGE,"Enter a message.","Введіть повідомлення.","Wpisz wiadomość.","Увядзі паведамленне.","Хабарлама енгізіңіз.","Введите сообщение."
CHAT_TOO_FAST,"Too fast — wait a second.","Занадто швидко — зачекайте секунду.","Za szybko — poczekaj sekundę.","Занадта хутка — пачакай секунду.","Тым жылдам — бір секунд күтіңіз.","Слишком быстро — подождите секунду."
CHAT_SEND_FAILED,"Message not sent: the network table is unavailable.","Повідомлення не надіслано: мережевий стіл недоступний.","Wiadomość nie została wysłana: stół sieciowy jest niedostępny.","Паведамленне не адпраўлена: сеткавы стол недаступны.","Хабарлама жіберілмеді: желілік үстел қолжетімсіз.","Сообщение не отправлено: сетевой стол пока недоступен."
JOKER_NAME,"Joker","Джокер","Joker","Джокер","Джокер","Джокер"
JOKER_TAKES,"Joker takes","Джокер забирає","Joker bierze","Джокер забірае","Джокер алады","Джокер забирает"
JOKER_DISCARD,"Discard Joker (does not take)","Скинути Джокера (не забирає)","Odrzuć Jokera (nie bierze)","Скінуць Джокера (не забірае)","Джокерді тастау (алмайды)","Сбросить Джокер (не забирает)"
JOKER_CANCEL,"Back to hand","Повернутися до карт","Wróć do kart","Вярнуцца да карт","Қолға оралу","Вернуться к картам"
JOKER_DECLARE_SUIT,"Declare %s","Оголосити %s","Zadeklaruj %s","Абвясціць %s","%s жариялау","Объявить %s"
JOKER_CHOOSE_OTHER_SUIT,"← Choose another suit","← Вибрати іншу масть","← Wybierz inny kolor","← Выбраць іншую масць","← Басқа түсті таңдау","← Выбрать другую масть"
JOKER_HIGH_TAKES,"%s: highest card takes","%s: старша карта забирає","%s: najwyższa karta bierze","%s: старэйшая карта забірае","%s: үлкен карта алады","%s: старшая забирает"
JOKER_LOW_TAKES,"%s: lowest card takes","%s: молодша карта забирає","%s: najniższa karta bierze","%s: малодшая карта забірае","%s: кіші карта алады","%s: младшая забирает"
JOKER_PLAY_HIGH_TAKES,"%s: play the highest — Joker takes","%s: кладіть старшу — Джокер забирає","%s: zagraj najwyższą — Joker bierze","%s: кладзіце старэйшую — Джокер забірае","%s: үлкенін салыңыз — Джокер алады","%s: кладите старшую — Джокер забирает"
JOKER_PLAY_LOW_TAKES,"%s: play the lowest — Joker takes","%s: кладіть молодшу — Джокер забирає","%s: zagraj najniższą — Joker bierze","%s: кладзіце малодшую — Джокер забірае","%s: кішісін салыңыз — Джокер алады","%s: кладите младшую — Джокер забирает"
JOKER_PLAY_HIGH_NOT_TAKES,"%s: play the highest — Joker does not take","%s: кладіть старшу — Джокер не забирає","%s: zagraj najwyższą — Joker nie bierze","%s: кладзіце старэйшую — Джокер не забірае","%s: үлкенін салыңыз — Джокер алмайды","%s: кладите старшую — Джокер не забирает"
JOKER_PLAY_LOW_NOT_TAKES,"%s: play the lowest — Joker does not take","%s: кладіть молодшу — Джокер не забирає","%s: zagraj najniższą — Joker nie bierze","%s: кладзіце малодшую — Джокер не забірае","%s: кішісін салыңыз — Джокер алмайды","%s: кладите младшую — Джокер не забирает"
JOKER_STATUS_TAKES,"TAKES","ЗАБИРАЄ","BIERZE","ЗАБІРАЕ","АЛАДЫ","ЗАБИРАЕТ"
JOKER_STATUS_NOT_TAKES,"DOESN'T TAKE","НЕ БЕРЕ","NIE BIERZE","НЕ БЯРЭ","АЛМАЙДЫ","НЕ БЕРЁТ"
JOKER_STATUS_HIGH,"HIGH","СТАРША","WYSOKA","СТАРЭЙШАЯ","ҮЛКЕН","СТАРШАЯ"
JOKER_STATUS_LOW,"LOW","МОЛОДША","NISKA","МАЛОДШАЯ","КІШІ","МЛАДШАЯ"
DEALER_TOOLTIP,"Dealer","Той, хто здає","Rozdający","Той, хто здае","Таратушы","Сдающий"
LEAD_MARKER,"Lead","Захід","Wyjście","Заход","Бастау","Заход"
LEAD_TOOLTIP,"Starts the current trick","Починає поточну взятку","Rozpoczyna bieżącą lewę","Пачынае бягучую ўзятку","Ағымдағы ұтысты бастайды","Начинает текущую взятку"
WAITING_NETWORK_PHASE,"Stage: connecting to the network table","Етап: підключення до мережевого столу","Etap: łączenie ze stołem sieciowym","Этап: падключэнне да сеткавага стала","Кезең: желілік үстелге қосылу","Этап: подключение к сетевому столу"
WAITING_NETWORK_TRUMP,"Trump will be revealed after the round starts","Козир буде відкрито після початку роздачі","Atut zostanie odkryty po rozpoczęciu rozdania","Козыр будзе адкрыты пасля пачатку раздачы","Козырь тарату басталғаннан кейін ашылады","Козырь будет открыт после запуска раздачи"
WAITING_NETWORK_ACTION,"Waiting for a secure table snapshot from the host.","Очікуємо безпечний знімок столу від хоста.","Oczekiwanie na bezpieczny stan stołu od hosta.","Чакаем бяспечны здымак стала ад хоста.","Хосттан қауіпсіз үстел күйін күтеміз.","Ожидаем безопасный снимок стола от хоста."
WAITING_NETWORK_TABLE,"The network table is waiting for the round to start","Мережевий стіл очікує початку роздачі","Stół sieciowy czeka na rozpoczęcie rozdania","Сеткавы стол чакае пачатку раздачы","Желілік үстел таратудың басталуын күтуде","Сетевой стол ожидает начала раздачи"
TABLE_NETWORK_ROUND_HEADER,"Round %d · %s · %s","Роздача %d · %s · %s","Rozdanie %d · %s · %s","Раздача %d · %s · %s","Тарату %d · %s · %s","Раздача %d · %s · %s"
ACTION_WAIT_HOST,"Waiting for the host","Очікування дій хоста","Oczekiwanie na hosta","Чаканне дзеянняў хоста","Хост әрекетін күту","Ожидание действий хоста"
ACTION_UNDO_REQUEST,"%s requests an undo · %d sec. left","%s просить повернути хід · залишилося %d с.","%s prosi o cofnięcie ruchu · pozostało %d s","%s просіць вярнуць ход · засталося %d с.","%s жүрісті қайтаруды сұрайды · %d сек. қалды","%s просит вернуть ход · осталось %d с."
ACTION_RECONNECTING,"%s is reconnecting. The game is waiting for the player to return.","%s перепідключається. Партія очікує повернення гравця.","%s łączy się ponownie. Gra czeka na powrót gracza.","%s перападключаецца. Партыя чакае вяртання гульца.","%s қайта қосылуда. Ойын ойыншының оралуын күтуде.","%s переподключается. Партия ожидает возвращения игрока."
ACTION_PREMOVE_READY,"Auto-play ready: %s. The card will be played automatically on your turn.","Автохід готовий: %s. Карта зіграє автоматично під час вашого ходу.","Auto-ruch gotowy: %s. Karta zostanie zagrana automatycznie w twojej turze.","Аўтаход гатовы: %s. Карта згуляе аўтаматычна ў твой ход.","Автожүріс дайын: %s. Карта сіздің жүрісіңізде автоматты түрде ойналады.","Автоход готов: %s. Карта сыграет автоматически в твой ход."
ACTION_PREMOVE_CONFIRM,"Auto-play: press the selected card again to confirm.","Автохід: натисніть вибрану карту ще раз для підтвердження.","Auto-ruch: naciśnij wybraną kartę ponownie, aby potwierdzić.","Аўтаход: націсні выбраную карту яшчэ раз для пацверджання.","Автожүріс: растау үшін таңдалған картаны қайта басыңыз.","Автоход: нажми выбранную карту ещё раз для подтверждения."
ROUND_START_FAILED,"Could not start the round.","Не вдалося почати роздачу.","Nie udało się rozpocząć rozdania.","Не ўдалося пачаць раздачу.","Таратуды бастау мүмкін болмады.","Не удалось начать раздачу."
ROUND_START_NO_BIDS,"%s %d of %d. No bidding; dealer: %s.","%s %d з %d. Без замовлень; здає: %s.","%s %d z %d. Bez licytacji; rozdaje: %s.","%s %d з %d. Без заказаў; здае: %s.","%s %d/%d. Тапсырыс жоқ; таратушы: %s.","%s раздача %d из %d. Заказов нет; сдающий: %s."
ROUND_START_WITH_DEALER,"%s %d of %d. Dealer: %s.","%s %d з %d. Здає: %s.","%s %d z %d. Rozdaje: %s.","%s %d з %d. Здае: %s.","%s %d/%d. Таратушы: %s.","%s %d из %d. Сдающий: %s."
ROUND_START_DARK,"%s %d of %d. Blind bidding; dealer: %s.","%s %d з %d. Замовлення наосліп; здає: %s.","%s %d z %d. Licytacja w ciemno; rozdaje: %s.","%s %d з %d. Заказ усляпую; здае: %s.","%s %d/%d. Жасырын тапсырыс; таратушы: %s.","%s раздача %d из %d. Заказ вслепую; сдающий: %s."
ROUND_FIRST_PLAYER," %s bids and plays first."," Першим замовляє та ходить %s."," %s licytuje i rusza jako pierwszy."," Першым заказвае і ходзіць %s."," %s бірінші тапсырыс беріп, бірінші жүреді."," Первым заказывает и ходит %s."
ACTION_DARK_BID,"Dark round: bid the number of tricks blindly.","Темна роздача: замовте кількість взяток наосліп.","Ciemna runda: zalicytuj liczbę lew w ciemno.","Цёмная раздача: закажы колькасць узятак усляпую.","Жасырын тарату: ұтыс санын көрмей тапсырыңыз.","Тёмная: закажи число взяток вслепую."
ACTION_NO_TRUMP_BID,"No-trump: choose the number of tricks.","Безкозирна: виберіть кількість взяток.","Bez atu: wybierz liczbę lew.","Бесказырная: выберы колькасць узятак.","Козырьсіз: ұтыс санын таңдаңыз.","Бескозырка: выбери число взяток."
ACTION_AUTOMATIC_BID_FAILED,"Automatic bidding failed.","Не вдалося виконати автоматичне замовлення.","Automatyczna licytacja nie powiodła się.","Не ўдалося зрабіць аўтаматычны заказ.","Автоматты тапсырыс орындалмады.","Ошибка автоматического заказа."
ACTION_PLAYER_BID,"%s bids %d.","%s замовляє %d.","%s licytuje %d.","%s заказвае %d.","%s %d тапсырыс берді.","%s заказывает %d."
ACTION_AUTO_CARD_MISSING,"The automatic player could not find a legal card.","Автоматичний гравець не знайшов допустимої карти.","Automatyczny gracz nie znalazł dozwolonej karty.","Аўтаматычны гулец не знайшоў дазволенай карты.","Автоматты ойыншы рұқсат етілген картаны таппады.","Автоматический игрок не нашёл допустимую карту."
ACTION_AUTO_CARD_INVALID,"Invalid automatic move.","Недопустимий автоматичний хід.","Niedozwolony automatyczny ruch.","Недапушчальны аўтаматычны ход.","Жарамсыз автоматты жүріс.","Недопустимый автоматический ход."
ACTION_BID_UNAVAILABLE,"This bid is not available now.","Це замовлення зараз недоступне.","Ten zakład jest teraz niedostępny.","Гэты заказ цяпер недаступны.","Бұл тапсырыс қазір қолжетімсіз.","Этот заказ сейчас недоступен."
ACTION_YOU_BID,"You bid %d.","Ви замовляєте %d.","Licytujesz %d.","Ты заказваеш %d.","Сіз %d тапсырыс бердіңіз.","Ты заказываешь %d."
ACTION_CARD_UNAVAILABLE,"You cannot play this card now.","Цю карту зараз не можна зіграти.","Nie możesz teraz zagrać tej karty.","Гэтую карту цяпер нельга згуляць.","Бұл картамен қазір жүруге болмайды.","Эту карту сейчас играть нельзя."
ACTION_CHOOSE_JOKER_SUIT,"Choose the condition for %s.","Виберіть умову для %s.","Wybierz warunek dla %s.","Выберы ўмову для %s.","%s үшін шартты таңдаңыз.","Выбери условие для %s."
