keys,en,uk,pl,be,kz,ru
"Громкость музыки","Music volume","Гучність музики","Głośność muzyki","Гучнасць музыкі","Музыка деңгейі","Громкость музыки"
"Звуки игры","Game sounds","Звуки гри","Dźwięki gry","Гукі гульні","Ойын дыбыстары","Звуки игры"
"Музыка","Music","Музика","Muzyka","Музыка","Музыка","Музыка"
"Назад к настройкам","Back to settings","Назад до налаштувань","Wróć do ustawień","Назад да налад","Баптауларға оралу","Назад к настройкам"
"Оформление","Appearance","Оформлення","Wygląd","Афармленне","Безендіру","Оформление"
"Колода, сукно и окружение игрового стола","Deck, felt and table surroundings","Колода, сукно й оточення ігрового столу","Talia, sukno i otoczenie stołu","Калода, сукно і асяроддзе гульнявога стала","Колода, мата және үстел ортасы","Колода, сукно и окружение игрового стола"
"Оформление карт","Card design","Оформлення карт","Wygląd kart","Афармленне карт","Карта безендірілуі","Оформление карт"
"Предпросмотр","Preview","Попередній перегляд","Podgląd","Папярэдні прагляд","Алдын ала қарау","Предпросмотр"
"Оформление стола","Table design","Оформлення столу","Wygląd stołu","Афармленне стала","Үстел безендірілуі","Оформление стола"
"Jumbo · четыре цвета","Jumbo · four colors","Jumbo · чотири кольори","Jumbo · cztery kolory","Jumbo · чатыры колеры","Jumbo · төрт түс","Jumbo · четыре цвета"
"Классическая · четыре цвета","Classic · four colors","Класична · чотири кольори","Klasyczna · cztery kolory","Класічная · чатыры колеры","Классикалық · төрт түс","Классическая · четыре цвета"
"Компактная · четыре цвета","Compact · four colors","Компактна · чотири кольори","Kompaktowa · cztery kolory","Кампактная · чатыры колеры","Ықшам · төрт түс","Компактная · четыре цвета"
"Jumbo · оригинальная (2 цвета)","Jumbo · original (2 colors)","Jumbo · оригінальна (2 кольори)","Jumbo · oryginalna (2 kolory)","Jumbo · арыгінальная (2 колеры)","Jumbo · түпнұсқа (2 түс)","Jumbo · оригинальная (2 цвета)"
"Простая · первая версия","Simple · first version","Проста · перша версія","Prosta · pierwsza wersja","Простая · першая версія","Қарапайым · алғашқы нұсқа","Простая · первая версия"
"Классическая векторная · Full HD","Classic vector · Full HD","Класична векторна · Full HD","Klasyczna wektorowa · Full HD","Класічная вектарная · Full HD","Классикалық векторлық · Full HD","Классическая векторная · Full HD"
"Выбор сохраняется только на этом устройстве и не меняет карты у других игроков.","The choice is saved only on this device and does not change other players' cards.","Вибір зберігається лише на цьому пристрої й не змінює карти інших гравців.","Wybór jest zapisywany tylko na tym urządzeniu i nie zmienia kart innych graczy.","Выбар захоўваецца толькі на гэтай прыладзе і не змяняе карты іншых гульцоў.","Таңдау тек осы құрылғыда сақталады және басқа ойыншылардың карталарын өзгертпейді.","Выбор сохраняется только на этом устройстве и не меняет карты у других игроков."
"Сукно и окружение видишь только ты. Выбор применяется сразу, сохраняется на этом устройстве и не меняет столы друзей.","Only you see the felt and surroundings. Changes apply immediately and do not alter friends' tables.","Сукно й оточення бачите лише ви. Зміни застосовуються одразу й не змінюють столи друзів.","Tylko ty widzisz sukno i otoczenie. Zmiany są natychmiastowe i nie wpływają na stoły znajomych.","Сукно і асяроддзе бачыш толькі ты. Змены прымяняюцца адразу і не змяняюць сталы сяброў.","Мата мен ортаны тек сіз көресіз. Өзгерістер бірден қолданылады және достар үстелін өзгертпейді.","Сукно и окружение видишь только ты. Выбор применяется сразу, сохраняется на этом устройстве и не меняет столы друзей."
"Классическое зелёное","Classic green","Класичне зелене","Klasyczna zieleń","Класічнае зялёнае","Классикалық жасыл","Классическое зелёное"
"Синее","Blue","Синє","Niebieskie","Сіняе","Көк","Синее"
"Бордовое","Burgundy","Бордове","Bordowe","Бардовае","Бордо","Бордовое"
"Тёмно-зелёный","Dark green","Темно-зелений","Ciemnozielone","Цёмна-зялёны","Қою жасыл","Тёмно-зелёный"
"Тёмный орех","Dark walnut","Темний горіх","Ciemny orzech","Цёмны арэх","Қою жаңғақ","Тёмный орех"
"Светлый дуб","Light oak","Світлий дуб","Jasny dąb","Светлы дуб","Ашық емен","Светлый дуб"
"Тёмный клуб","Dark club","Темний клуб","Ciemny klub","Цёмны клуб","Қараңғы клуб","Тёмный клуб"
"Тёплая ткань","Warm fabric","Тепла тканина","Ciepła tkanina","Цёплая тканіна","Жылы мата","Тёплая ткань"
"Игра","Game","Гра","Gra","Гульня","Ойын","Игра"
"Поведение ботов, подсказки и автоматические действия","Bot behavior, tips and automatic actions","Поведінка ботів, підказки й автоматичні дії","Zachowanie botów, podpowiedzi i automatyczne działania","Паводзіны ботаў, падказкі і аўтаматычныя дзеянні","Бот әрекеті, кеңестер және автоматты әрекеттер","Поведение ботов, подсказки и автоматические действия"
"Скорость ходов ботов","Bot move speed","Швидкість ходів ботів","Szybkość ruchów botów","Хуткасць хадоў ботаў","Бот жүрісінің жылдамдығы","Скорость ходов ботов"
"Медленно","Slow","Повільно","Wolno","Павольна","Баяу","Медленно"
"Быстро","Fast","Швидко","Szybko","Хутка","Жылдам","Быстро"
"Автоход · 45 секунд","Auto-play · 45 seconds","Автохід · 45 секунд","Auto-ruch · 45 sekund","Аўтаход · 45 секунд","Автожүріс · 45 секунд","Автоход · 45 секунд"
"Показывает на столе подсказки по заказам, картам и этапам раздачи.","Shows table tips for bids, cards and round stages.","Показує на столі підказки щодо замовлень, карт і етапів роздачі.","Pokazuje przy stole podpowiedzi o licytacji, kartach i etapach rozdania.","Паказвае за сталом падказкі пра заказы, карты і этапы раздачы.","Үстелде тапсырыс, карта және тарату кезеңдері туралы кеңестерді көрсетеді.","Показывает на столе подсказки по заказам, картам и этапам раздачи."
"Если ты не ходишь 1 минуту 30 секунд, режим включится автоматически и останется активным. Отключить его можно здесь вручную.","After 1 minute 30 seconds without a move, this mode turns on and stays active. You can disable it here.","Якщо ви не ходите 1 хвилину 30 секунд, режим увімкнеться автоматично й залишиться активним. Тут його можна вимкнути.","Po 1 minucie i 30 sekundach bez ruchu tryb włączy się i pozostanie aktywny. Możesz go tu wyłączyć.","Пасля 1 хвіліны 30 секунд без ходу рэжым уключыцца і застанецца актыўным. Тут яго можна выключыць.","1 минут 30 секунд жүріс болмаса, режим автоматты қосылып, белсенді қалады. Оны осы жерден өшіруге болады.","Если ты не ходишь 1 минуту 30 секунд, режим включится автоматически и останется активным. Отключить его можно здесь вручную."
"Переключает игру между полноэкранным и развёрнутым оконным режимами.","Switches between fullscreen and maximized windowed mode.","Перемикає гру між повноекранним і розгорнутим віконним режимами.","Przełącza grę między pełnym ekranem a zmaksymalizowanym oknem.","Пераключае гульню паміж поўнаэкранным і разгорнутым аконным рэжымамі.","Ойынды толық экран мен кеңейтілген терезе режимі арасында ауыстырады.","Переключает игру между полноэкранным и развёрнутым оконным режимами."
"Режим обучения","Tutorial mode","Режим навчання","Tryb samouczka","Рэжым навучання","Үйрету режимі","Режим обучения"
"Автоход","Auto-play","Автохід","Auto-ruch","Аўтаход","Автожүріс","Автоход"
"Экран","Display","Екран","Ekran","Экран","Экран","Экран"
"Параметры отображения игры","Game display options","Параметри відображення гри","Opcje wyświetlania gry","Параметры адлюстравання гульні","Ойын экранының параметрлері","Параметры отображения игры"
"Полноэкранный режим","Fullscreen","Повноекранний режим","Pełny ekran","Поўнаэкранны рэжым","Толық экран режимі","Полноэкранный режим"
"Пауза","Pause","Пауза","Pauza","Паўза","Үзіліс","Пауза"
"Текущая локальная партия ждёт твоего решения","Your local game is waiting for your decision","Поточна локальна партія очікує вашого рішення","Twoja lokalna gra czeka na decyzję","Бягучая лакальная партыя чакае твайго рашэння","Жергілікті ойын сіздің шешіміңізді күтуде","Текущая локальная партия ждёт твоего решения"
"Продолжить","Continue","Продовжити","Kontynuuj","Працягнуць","Жалғастыру","Продолжить"
"Показать аудиоплеер","Show audio player","Показати аудіоплеєр","Pokaż odtwarzacz","Паказаць аўдыяплэер","Аудиоплеерді көрсету","Показать аудиоплеер"
"Скрыть аудиоплеер","Hide audio player","Сховати аудіоплеєр","Ukryj odtwarzacz","Схаваць аўдыяплэер","Аудиоплеерді жасыру","Скрыть аудиоплеер"
"Статистика","Statistics","Статистика","Statystyki","Статыстыка","Статистика","Статистика"
"Настройки","Settings","Налаштування","Ustawienia","Налады","Баптаулар","Настройки"
"Сообщить об ошибке","Report a bug","Повідомити про помилку","Zgłoś błąd","Паведаміць пра памылку","Қате туралы хабарлау","Сообщить об ошибке"
"Завершить партию","End game","Завершити партію","Zakończ grę","Завяршыць партыю","Ойынды аяқтау","Завершить партию"
"Играть по сети","Play online","Грати онлайн","Graj online","Гуляць анлайн","Желіде ойнау","Играть по сети"
"Открытые столы, комнаты друзей и возвращение в незавершённую партию","Open tables, friends' rooms and reconnecting to unfinished games","Відкриті столи, кімнати друзів і повернення до незавершеної партії","Otwarte stoły, pokoje znajomych i powrót do niedokończonych gier","Адкрытыя сталы, пакоі сяброў і вяртанне ў незавершаную партыю","Ашық үстелдер, достар бөлмелері және аяқталмаған ойынға оралу","Открытые столы, комнаты друзей и возвращение в незавершённую партию"
"Открытые столы","Open tables","Відкриті столи","Otwarte stoły","Адкрытыя сталы","Ашық үстелдер","Открытые столы"
"Создать комнату","Create room","Створити кімнату","Utwórz pokój","Стварыць пакой","Бөлме құру","Создать комнату"
"Мои игры","My games","Мої ігри","Moje gry","Мае гульні","Менің ойындарым","Мои игры"
"Обновить список","Refresh list","Оновити список","Odśwież listę","Абнавіць спіс","Тізімді жаңарту","Обновить список"
"Комнаты друзей","Friends' rooms","Кімнати друзів","Pokoje znajomych","Пакоі сяброў","Достар бөлмелері","Комнаты друзей"
"Создать закрытую комнату","Create private room","Створити закриту кімнату","Utwórz prywatny pokój","Стварыць закрыты пакой","Жабық бөлме құру","Создать закрытую комнату"
"Пригласить друга через Steam","Invite a friend through Steam","Запросити друга через Steam","Zaproś znajomego przez Steam","Запрасіць сябра праз Steam","Steam арқылы дос шақыру","Пригласить друга через Steam"
"Отметиться готовым","Mark ready","Позначити готовність","Oznacz gotowość","Адзначыць гатоўнасць","Дайын деп белгілеу","Отметиться готовым"
"Подключиться к игровому столу","Connect to game table","Підключитися до ігрового столу","Połącz ze stołem","Падключыцца да гульнявога стала","Ойын үстеліне қосылу","Подключиться к игровому столу"
"Заполнить свободные места ботами","Fill empty seats with bots","Заповнити вільні місця ботами","Wypełnij wolne miejsca botami","Запоўніць вольныя месцы ботамі","Бос орындарды боттармен толтыру","Заполнить свободные места ботами"
"Выйти из комнаты","Leave room","Вийти з кімнати","Opuść pokój","Выйсці з пакоя","Бөлмеден шығу","Выйти из комнаты"
"РОЗЫГРЫШ ПЕРВОГО ХОДА","FIRST MOVE ROLL","РОЗІГРАШ ПЕРШОГО ХОДУ","LOSOWANIE PIERWSZEGO RUCHU","РОЗЫГРЫШ ПЕРШАГА ХОДУ","БІРІНШІ ЖҮРІСТІ АНЫҚТАУ","РОЗЫГРЫШ ПЕРВОГО ХОДА"
"Победитель первым заказывает и начинает игру","The winner bids first and starts the game","Переможець першим замовляє та починає гру","Zwycięzca licytuje pierwszy i rozpoczyna grę","Пераможца першым заказвае і пачынае гульню","Жеңімпаз бірінші тапсырыс беріп, ойынды бастайды","Победитель первым заказывает и начинает игру"
"Бросить кубик","Roll die","Кинути кубик","Rzuć kostką","Кінуць кубік","Зар лақтыру","Бросить кубик"
"Следующая раздача","Next round","Наступна роздача","Następne rozdanie","Наступная раздача","Келесі тарату","Следующая раздача"
"В ограниченном режиме журнал показывает только последнюю завершённую взятку и карты текущей взятки.","In limited mode, the log shows only the last completed trick and the cards in the current trick.","В обмеженому режимі журнал показує лише останню завершену взятку та карти поточної взятки.","W trybie ograniczonym dziennik pokazuje tylko ostatnią zakończoną lewę i karty bieżącej lewy.","У абмежаваным рэжыме журнал паказвае толькі апошнюю завершаную ўзятку і карты бягучай узяткі.","Шектеулі режимде журнал тек соңғы аяқталған ұтысты және ағымдағы ұтыстың карталарын көрсетеді.","В ограниченном режиме журнал показывает только последнюю завершённую взятку и карты текущей взятки."
"Аватар из профиля","Avatar from profile","Аватар із профілю","Awatar z profilu","Аватар з профілю","Профильдегі аватар","Аватар из профиля"
"Выбранный аватар бота","Selected bot avatar","Вибраний аватар бота","Wybrany awatar bota","Выбраны аватар бота","Боттың таңдалған аватары","Выбранный аватар бота"
"В Steam-версии здесь позже появится возможность использовать имя и аватар профиля Steam.","The Steam version will later let you use your Steam profile name and avatar here.","У Steam-версії тут пізніше з’явиться можливість використовувати ім’я та аватар профілю Steam.","W wersji Steam będzie tu później można użyć nazwy i awatara profilu Steam.","У Steam-версіі тут пазней з’явіцца магчымасць выкарыстоўваць імя і аватар профілю Steam.","Steam нұсқасында кейін мұнда Steam профилінің аты мен аватарын қолдануға болады.","В Steam-версии здесь позже появится возможность использовать имя и аватар профиля Steam."
"Не удалось прочитать картинку. Выбери PNG, JPG или WebP.","Could not read the image. Choose a PNG, JPG, or WebP file.","Не вдалося прочитати зображення. Виберіть PNG, JPG або WebP.","Nie udało się odczytać obrazu. Wybierz plik PNG, JPG lub WebP.","Не ўдалося прачытаць выяву. Выберы PNG, JPG або WebP.","Суретті оқу мүмкін болмады. PNG, JPG немесе WebP таңдаңыз.","Не удалось прочитать картинку. Выбери PNG, JPG или WebP."
"Не удалось сохранить личный аватар.","Could not save the custom avatar.","Не вдалося зберегти власний аватар.","Nie udało się zapisać własnego awatara.","Не ўдалося захаваць уласны аватар.","Жеке аватарды сақтау мүмкін болмады.","Не удалось сохранить личный аватар."
"Личная картинка готова. Нажми «Сохранить профиль», чтобы применить её.","Your custom image is ready. Select “Save profile” to apply it.","Власне зображення готове. Натисніть «Зберегти профіль», щоб застосувати його.","Własny obraz jest gotowy. Wybierz „Zapisz profil”, aby go zastosować.","Уласная выява гатовая. Націсні «Захаваць профіль», каб ужыць яе.","Жеке сурет дайын. Қолдану үшін «Профильді сақтау» түймесін басыңыз.","Личная картинка готова. Нажми «Сохранить профиль», чтобы применить её."
"Сначала выбери файл PNG, JPG или WebP.","Choose a PNG, JPG, or WebP file first.","Спочатку виберіть файл PNG, JPG або WebP.","Najpierw wybierz plik PNG, JPG lub WebP.","Спачатку выберы файл PNG, JPG або WebP.","Алдымен PNG, JPG немесе WebP файлын таңдаңыз.","Сначала выбери файл PNG, JPG или WebP."
"Используется один из встроенных авторских аватаров.","One of the built-in original avatars is being used.","Використовується один із вбудованих авторських аватарів.","Używany jest jeden z wbudowanych autorskich awatarów.","Выкарыстоўваецца адзін з убудаваных аўтарскіх аватараў.","Кірістірілген авторлық аватарлардың бірі қолданылуда.","Используется один из встроенных авторских аватаров."
"Выбери картинку","Choose image","Виберіть зображення","Wybierz obraz","Выберы выяву","Суретті таңдаңыз","Выбери картинку"
"Аватар не найден","Avatar not found","Аватар не знайдено","Nie znaleziono awatara","Аватар не знойдзены","Аватар табылмады","Аватар не найден"
"Собери личный плейлист: он появится в плеере рядом с темами игры","Build a personal playlist: it will appear in the player alongside the game themes","Створіть особистий плейлист: він з’явиться у програвачі поруч із темами гри","Utwórz własną playlistę: pojawi się w odtwarzaczu obok motywów gry","Ствары асабісты плэйліст: ён з’явіцца ў прайгравальніку побач з тэмамі гульні","Жеке плейлист жасаңыз: ол ойнатқышта ойын әуендерінің жанында пайда болады","Собери личный плейлист: он появится в плеере рядом с темами игры"
"Поддерживаются MP3, Ogg Vorbis и WAV до 40 МБ каждый. Файлы остаются на твоём компьютере: если переместить файл, игра просто пропустит его.","MP3, Ogg Vorbis, and WAV files up to 40 MB each are supported. Files stay on your computer; if one is moved, the game simply skips it.","Підтримуються MP3, Ogg Vorbis і WAV до 40 МБ кожен. Файли залишаються на вашому комп’ютері; якщо файл перемістити, гра просто пропустить його.","Obsługiwane są pliki MP3, Ogg Vorbis i WAV do 40 MB każdy. Pliki pozostają na komputerze; po przeniesieniu pliku gra go pominie.","Падтрымліваюцца MP3, Ogg Vorbis і WAV да 40 МБ кожны. Файлы застаюцца на камп’ютары; калі перамясціць файл, гульня проста прапусціць яго.","Әрқайсысы 40 МБ-қа дейінгі MP3, Ogg Vorbis және WAV файлдары қолданылады. Файлдар компьютеріңізде қалады; файл жылжытылса, ойын оны өткізіп жібереді.","Поддерживаются MP3, Ogg Vorbis и WAV до 40 МБ каждый. Файлы остаются на твоём компьютере: если переместить файл, игра просто пропустит его."
"Добавить файлы","Add files","Додати файли","Dodaj pliki","Дадаць файлы","Файлдар қосу","Добавить файлы"
"Добавить папку с музыкой","Add music folder","Додати папку з музикою","Dodaj folder z muzyką","Дадаць папку з музыкай","Музыка қалтасын қосу","Добавить папку с музыкой"
"Очистить плейлист","Clear playlist","Очистити плейлист","Wyczyść playlistę","Ачысціць плэйліст","Плейлистті тазарту","Очистить плейлист"
"Назад к профилю","Back to profile","Назад до профілю","Wróć do profilu","Назад да профілю","Профильге оралу","Назад к профилю"
"Сейчас доступны только три встроенные темы игры.","Only the three built-in game themes are currently available.","Зараз доступні лише три вбудовані теми гри.","Obecnie dostępne są tylko trzy wbudowane motywy gry.","Зараз даступныя толькі тры ўбудаваныя тэмы гульні.","Қазір тек үш кірістірілген ойын әуені қолжетімді.","Сейчас доступны только три встроенные темы игры."
"В плейлисте: %d · доступны сейчас: %d.","In playlist: %d · available now: %d.","У плейлисті: %d · доступно зараз: %d.","Na playliście: %d · dostępne teraz: %d.","У плэйлісце: %d · даступна зараз: %d.","Плейлистте: %d · қазір қолжетімді: %d.","В плейлисте: %d · доступны сейчас: %d."
"Личных треков пока нет.","No personal tracks yet.","Особистих треків поки немає.","Brak własnych utworów.","Асабістых трэкаў пакуль няма.","Жеке тректер әзірге жоқ.","Личных треков пока нет."
" — файл не найден"," — file not found"," — файл не знайдено"," — nie znaleziono pliku"," — файл не знойдзены"," — файл табылмады"," — файл не найден"
"Убрать","Remove","Прибрати","Usuń","Прыбраць","Жою","Убрать"
"…ещё %d треков. Полный список с поиском — в плеере за столом.","…%d more tracks. The full searchable list is in the table player.","…ще %d треків. Повний список із пошуком — у програвачі за столом.","…jeszcze %d utworów. Pełna lista z wyszukiwaniem jest w odtwarzaczu przy stole.","…яшчэ %d трэкаў. Поўны спіс з пошукам — у прайгравальніку за сталом.","…тағы %d трек. Іздеуі бар толық тізім үстелдегі ойнатқышта.","…ещё %d треков. Полный список с поиском — в плеере за столом."
"Подсказки во время игры","In-game tips","Підказки під час гри","Podpowiedzi podczas gry","Падказкі падчас гульні","Ойын кезіндегі кеңестер","Подсказки во время игры"
"Показывает на столе короткие пояснения к текущему этапу и доступным действиям.","Shows brief explanations of the current stage and available actions at the table.","Показує за столом короткі пояснення поточного етапу та доступних дій.","Pokazuje przy stole krótkie objaśnienia bieżącego etapu i dostępnych działań.","Паказвае за сталом кароткія тлумачэнні бягучага этапу і даступных дзеянняў.","Үстелде ағымдағы кезең мен қолжетімді әрекеттер туралы қысқа түсіндірмелерді көрсетеді.","Показывает на столе короткие пояснения к текущему этапу и доступным действиям."
"• Заказы: перед розыгрышем назови, сколько взяток планируешь взять.","• Bidding: before play, declare how many tricks you plan to take.","• Замовлення: перед розіграшем назвіть, скільки взяток плануєте взяти.","• Licytacja: przed rozgrywką zadeklaruj, ile lew planujesz wziąć.","• Заказы: перад розыгрышам назаві, колькі ўзятак плануеш узяць.","• Тапсырыс: ойын алдында қанша ұтыс алуды жоспарлайтыныңызды айтыңыз.","• Заказы: перед розыгрышем назови, сколько взяток планируешь взять."
"• Розыгрыш: если масть захода есть на руке, её нужно положить. Если масти нет — действуют правила козыря и Джокера.","• Play: if you hold the led suit, you must follow it. Otherwise, trump and Joker rules apply.","• Розіграш: якщо масть заходу є на руці, її потрібно зіграти. Якщо масті немає — діють правила козиря та Джокера.","• Rozgrywka: jeśli masz kolor wyjścia, musisz go dołożyć. W przeciwnym razie obowiązują zasady atutu i Jokera.","• Розыгрыш: калі масць заходу ёсць на руцэ, яе трэба пакласці. Калі масці няма — дзейнічаюць правілы казыра і Джокера.","• Ойын: қолыңызда басталған түс болса, сол түсті ойнау керек. Болмаса, козырь мен Джокер ережелері қолданылады.","• Розыгрыш: если масть захода есть на руке, её нужно положить. Если масти нет — действуют правила козыря и Джокера."
"• Джокер: при первом ходе можно объявить масть и условие; в середине взятки он может забирать или быть сбросом.","• Joker: when leading, you may name a suit and condition; later in a trick, it may win or be discarded.","• Джокер: при першому ході можна оголосити масть і умову; у середині взятки він може забирати або бути скиданням.","• Joker: przy wyjściu można wskazać kolor i warunek; w środku lewy może wygrać albo zostać zrzucony.","• Джокер: пры першым ходзе можна абвясціць масць і ўмову; у сярэдзіне ўзяткі ён можа забіраць або быць скідам.","• Джокер: бірінші жүрісте түс пен шартты жариялауға болады; ұтыс ортасында ол жеңе алады немесе тасталады.","• Джокер: при первом ходе можно объявить масть и условие; в середине взятки он может забирать или быть сбросом."
"• После раздачи сверяй заказ, взятые карты и очки в итогах справа или в расписке.","• After each round, check your bid, tricks, and score in the results or score sheet.","• Після роздачі звірте замовлення, взятки та очки в підсумках або розписці.","• Po rozdaniu sprawdź deklarację, lewy i punkty w wynikach lub tabeli wyników.","• Пасля раздачы звер заказ, узяткі і ачкі ў выніках або распісцы.","• Әр таратудан кейін тапсырыс, алынған ұтыстар мен ұпайларды қорытындыдан немесе есеп кестесінен тексеріңіз.","• После раздачи сверяй заказ, взятые карты и очки в итогах справа или в расписке."
